code,country,prefix,city,latitude,longitude
CH23,CH,23,Les Bois,47.169110714285715,6.917532142857143
CH24,CH,24,Le Cerneux-Péquignot,47.01211,6.66537
CH25,CH,25,Nidau,47.12779999999999,7.241142592592593
CH26,CH,26,Cormoret,47.16025882352942,7.050876470588236
CH27,CH,27,Valbirse,47.259510526315786,7.25308947368421
CH28,CH,28,Develier,47.355084090909095,7.295445454545455
CH29,CH,29,Porrentruy,47.423834285714285,7.072074285714286
CH30,CH,30,Berno,46.94804948453608,7.4348432989690725
CH31,CH,31,Oberbalm,46.849900000000005,7.414
CH32,CH,32,Radelfingen,47.020136842105266,7.2593657894736845
CH33,CH,33,Niederösch,47.116739583333334,7.587677083333333
CH34,CH,34,Heimiswil,47.058992727272724,7.6689727272727275
CH35,CH,35,Signau,46.91475357142857,7.717232142857143
CH36,CH,36,Steffisburg,46.764266666666664,7.63473492063492
CH37,CH,37,Diemtigen,46.57115833333333,7.5365312499999995
CH38,CH,38,Grindelwald,46.66771590909091,7.975270454545455
CH39,CH,39,Ausserberg,46.31228333333333,7.8438743055555555
CH40,CH,40,Bazylea,47.55367428571429,7.587562857142857
CH41,CH,41,Therwil,47.50726842105263,7.575468421052631
CH42,CH,42,Breitenbach,47.4094037037037,7.538314814814815
CH43,CH,43,Zeiningen,47.5353,7.860845
CH44,CH,44,Zunzgen,47.44273620689655,7.801386206896551
CH45,CH,45,Biberist,47.19009428571428,7.55387
CH46,CH,46,Olten,47.337888235294116,7.881155882352941
CH47,CH,47,Laupersdorf,47.30003571428572,7.646914285714286
CH48,CH,48,Zofingen,47.28270833333334,7.938879166666666
CH49,CH,49,Gutenburg,47.170340625,7.803709375
CH50,CH,50,Aarau,47.40031964285714,8.048433928571429
CH51,CH,51,Veltheim,47.43026,8.14565
CH52,CH,52,Riniken,47.497151851851854,8.185333333333332
CH53,CH,53,Kleindöttingen,47.56390454545454,8.248927272727272
CH54,CH,54,Ennetbaden,47.47741282051282,8.320484615384615
CH55,CH,55,Hägglingen,47.39686363636363,8.239681818181818
CH56,CH,56,Boswil,47.298541666666665,8.301074999999999
CH57,CH,57,Oberkulm,47.30587499999999,8.143625
